"Gene","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"DSP",-1.75805147881513,0.265264419741148,8.07232857008534,0.0176651009227007,0.596957981749874,-3.41343853580059,0.000641486266585112,0.00630794828808693,-4.34410054241063,1
"DSG3",-1.2090252262378,0.0574698329326791,0.468279658910238,0.791251167940167,0,-5.04330687813563,4.57554544475158e-07,1.3054822112498e-05,-2.19064701957384,1
"DSG1",-1.62775320976236,0.0603460325853082,0.15490461667996,0.925471160600114,0,-6.62619479403407,3.44451134282053e-11,3.05530499313176e-09,-4.24883090260457,1
"DSC1",-1.94077665834774,0.0628238341771601,0.78894132345868,0.674036738274716,0,-7.74307277763869,9.76996261670138e-15,2.12317570931949e-12,-4.3166467368725,1
"FLG",-1.6902651859072,0.0617970643787693,1.77954866888241,0.410748434069359,0,-6.79940521631376,1.05051523036082e-11,1.06183473555618e-09,-5.16511108095773,1
