"Variable","HR","HR_lower_95CI","HR_upper_95CI","P_value"
"RiskScore",2.64923411743221,1.68249478147577,4.17144913983667,2.5982618445077e-05
"Age",1.02017166602216,1.01016749424916,1.03027491389238,7.12971369369329e-05
"Gendermale",1.00592994552223,0.742560134793859,1.36271125782866,0.96954919145749
"Stage_groupStage III-IV",62.0801269587215,4.31677186762432,892.783376419645,0.0024038470515543
"tt(Stage_III_IV_numeric)",0.591232641385755,0.401952259535792,0.86964565554047,0.00759912567316343
