"Predicted","Calibrated","Calibrated_Corrected","Lower","Upper"
0.846725332036145,0.384867259587589,0.385066260256617,-0.51402421900446,-0.266818291198207
0.8480159684783,0.388404957312027,0.388538349726886,-0.511985645240545,-0.264351759179961
0.849306604920456,0.391968165796258,0.392037744160494,-0.509916110933618,-0.261857747689594
0.850597241362611,0.395557001075107,0.395564558286082,-0.507815362424744,-0.25933611498095
0.851887877804766,0.399171578895293,0.399118906732191,-0.505683154794783,-0.256786716902866
0.853178514246922,0.402812014695809,0.402700904018556,-0.503519249214941,-0.254209405989367
0.854469150689077,0.406478423587699,0.406310664546895,-0.50132336907018,-0.251604014080985
0.855759787131232,0.410170920333207,0.409948302591198,-0.499095277399916,-0.248970383288873
0.857050423573388,0.413889619324284,0.413613932287435,-0.4968347624926,-0.246308360397725
0.858341060015543,0.417634634560416,0.417307667622842,-0.494541618710101,-0.243617789308234
0.859631696457698,0.421406079625746,0.42102962242459,-0.492215646053208,-0.240898510926169
0.860922332899854,0.42520406766548,0.424779910347967,-0.489630483585917,-0.23690118939597
0.862212969342009,0.429028711361512,0.428558644864012,-0.487014138810636,-0.23284720422098
0.863503605784164,0.432880122907279,0.432365939246601,-0.484366445654053,-0.228735493153461
0.86479424222632,0.436758413981775,0.436201906558986,-0.481906196367032,-0.225894132757658
0.866084878668475,0.440663695722713,0.440066659639778,-0.479412265931257,-0.223023211531151
0.86737551511063,0.444596078698794,0.443960311088368,-0.476884481250508,-0.22012254838926
0.868666151552786,0.448555672881032,0.447882973249764,-0.47432267242689,-0.217191958158474
0.869956787994941,0.452542587613109,0.451834758198868,-0.471726672501268,-0.214231251387769
0.871247424437096,0.456556931580713,0.455815777724147,-0.46909631721109,-0.211240234147329
0.872538060879252,0.460598812779809,0.459826143310715,-0.466654811640845,-0.209533790284621
0.873828697321407,0.464668338483794,0.46386596612281,-0.463955467301757,-0.206483499570507
0.875119333763562,0.468765615209496,0.467935356985644,-0.46122126514188,-0.203402295483414
0.876409970205718,0.472890748681952,0.472034426366634,-0.458452049587256,-0.200289964627118
0.877700606647873,0.477043843797909,0.476163284355984,-0.455647666782115,-0.197146287933725
0.878991243090028,0.481225004587997,0.480322040646625,-0.452807964434775,-0.193971040367421
0.880281879532184,0.485434334177496,0.484510804513476,-0.449932791675976,-0.190763990607859
0.881572515974339,0.489671934745647,0.488729684792036,-0.447021998929028,-0.187524900711643
0.882863152416494,0.493937907483409,0.492978789856273,-0.444075437791207,-0.184253525750324
0.88415378885865,0.498232352549617,0.497258227595809,-0.441092960925826,-0.180949613423117
0.885444425300805,0.502555369025436,0.501568105392372,-0.438074421964462,-0.177612903642492
0.88673506174296,0.506907054867025,0.505908530095501,-0.435019675418826,-0.174243128090556
0.888025698185116,0.511287506856347,0.510279607997496,-0.431928576601806,-0.170840009744044
0.889316334627271,0.515696820549978,0.51468144480757,-0.428800981557224,-0.167403262365507
0.890606971069426,0.520135090225865,0.519114145625203,-0.42563674699787,-0.163932589958123
0.891897607511582,0.524602408827875,0.523577814912661,-0.422435730251438,-0.160427686181335
0.893188243953737,0.529098867908046,0.528072556466659,-0.419197789213952,-0.156888233724277
0.894478880395892,0.5336245575664,0.532598473389145,-0.415922782310337,-0.153313903633718
0.895769516838048,0.538179566388184,0.537155668057168,-0.412610568461815,-0.149704354592964
0.897060153280203,0.542763981378392,0.541744242091805,-0.409261007059803,-0.146059232147887
0.898350789722358,0.547377887893418,0.546364296326109,-0.405873957946022,-0.1423781678759
0.899641426164514,0.552021369569661,0.551015930772042,-0.402449281398573,-0.13866077849338
0.900932062606669,0.556694508248919,0.555699244586358,-0.398986838123714,-0.13490666489665
0.902222699048824,0.561397383900362,0.560414336035373,-0.395486489253137,-0.131115411131215
0.90351333549098,0.566130074538885,0.565161302458603,-0.391948096346536,-0.127286583283551
0.904803971933135,0.570892656139622,0.569940240231186,-0.388595873684768,-0.124762243464471
0.90609460837529,0.575685202548372,0.574751244725051,-0.384980582531251,-0.120859332112416
0.907385244817446,0.580507785387684,0.57959441026875,-0.381326808034627,-0.116917468103566
0.908675881259601,0.585360473958307,0.584469830105895,-0.377634413490456,-0.112936135560717
0.909966517701756,0.590243335135736,0.589377596352101,-0.373903262700703,-0.108914793871053
0.911257154143912,0.595156433261477,0.594317799950352,-0.370133220004747,-0.104852875974479
0.912547790586067,0.600099830028727,0.59929053062468,-0.366102576322427,-0.0993918977131606
0.913838427028222,0.605073584362044,0.604295876832038,-0.362254905842011,-0.0952442635090072
0.915129063470377,0.610077752290615,0.609333925712218,-0.35836797042955,-0.0910541128043915
0.916419699912533,0.615112386814654,0.61440476303568,-0.354441637348892,-0.0868207489945863
0.917710336354688,0.620177537764444,0.619508473149077,-0.350475774637381,-0.0825434380143874
0.919000972796843,0.625273251651473,0.624645138918302,-0.346470251164849,-0.0782214056387864
0.920291609238999,0.630399571511092,0.629814841668775,-0.342424936697404,-0.0738538345731328
0.921582245681154,0.635556536736037,0.635017661122731,-0.338339701966101,-0.0694398613166078
0.922872882123309,0.640744182900115,0.64025367533313,-0.334214418740714,-0.0649785727818453
0.924163518565465,0.645962541571294,0.645522960613849,-0.329836094118837,-0.0590568766119836
0.92545415500762,0.651211640113318,0.650825591465657,-0.325631170065677,-0.0544944740470348
0.926744791449776,0.656491501474967,0.656161640497489,-0.321385878587253,-0.0498815823033896
0.928035427891931,0.661802143965872,0.661531178342326,-0.317100097137772,-0.0452170435684086
0.929326064334086,0.667143581017809,0.666934273566992,-0.312773704697308,-0.0404996287442985
0.930616700776241,0.67251582093018,0.672370992574936,-0.308406581882768,-0.0357280321636229
0.931907337218397,0.677918866598317,0.677841399500966,-0.303793547886763,-0.0294374727196035
0.933197973660552,0.683352715223058,0.683345556096661,-0.299345580450807,-0.0245488626796272
0.934488610102707,0.688817357999885,0.688883521604944,-0.294655959802993,-0.0180997757062476
0.935779246544863,0.694312779785721,0.694455352622017,-0.290126846206986,-0.0130871109370599
0.937069882987018,0.699838958741265,0.700061102944485,-0.285556529909199,-0.00801201368684282
0.938360519429173,0.705395865946461,0.705700823399013,-0.280944905576657,-0.00287256061581054
0.939651155871329,0.710983464986454,0.711374561651381,-0.27629187060826,0.00233329855857317
0.940941792313484,0.716601711505027,0.717082361991089,-0.271404444151622,0.00916646905140153
0.942232428755639,0.722250552722122,0.722824265086858,-0.266480020722029,0.0161146470045511
0.943523065197795,0.727929926911641,0.728600307707378,-0.261704543945919,0.0215461210284374
0.94481370163995,0.733639762835197,0.734410522400426,-0.256887376021174,0.0270542115252194
0.946104338082105,0.739379979126878,0.74025493712192,-0.251844818303025,0.0342922585092186
0.947394974524261,0.745150483623454,0.746133574804658,-0.246765081015559,0.0416627065352057
0.948685610966416,0.750951172633592,0.752046452854097,-0.241824974948925,0.0474344056352513
0.949976247408571,0.756781930138767,0.757993582555697,-0.236842991080707,0.053296081328945
0.951266883850727,0.762642626917399,0.763974968374714,-0.231644794707106,0.061006229948635
0.952557520292882,0.768533119582494,0.769990607124905,-0.226409308901161,0.0688711274247682
0.953848156735037,0.774453249521467,0.776040486976972,-0.221304123467561,0.075046002940202
0.955138793177193,0.780402841725033,0.782124586270646,-0.215990703831988,0.0831914485576986
0.956429429619348,0.78638170348979,0.78824287208553,-0.210802942689832,0.0895969509223708
0.957720066061503,0.79238962297653,0.794395298514895,-0.205573202109449,0.0961198956438914
0.959010702503659,0.798426367603012,0.80058180457284,-0.20014134583248,0.104707432913362
0.960301338945814,0.804491682246113,0.806802311647977,-0.194517209306712,0.115540544122541
0.961591975387969,0.810585287223408,0.813056720395078,-0.189166105277286,0.122491715109396
0.962882611830125,0.81670687601843,0.819344906928935,-0.183622835292045,0.131709688035566
0.96417324827228,0.822856112706457,0.825666718150482,-0.178042542369394,0.141159802166431
0.965463884714435,0.829032629028693,0.832021965992746,-0.172569412504898,0.148588356397554
0.966754521156591,0.835236021051156,0.838410420321178,-0.167054766753432,0.156176554654038
0.968045157598746,0.841465845330149,0.84483180015777,-0.161357630320159,0.1662355843561
0.969335794040901,0.847721614487612,0.851285762819114,-0.155623820199212,0.176564331232327
0.970626430483057,0.85400279207576,0.857771890463951,-0.14998824325262,0.184703599146526
0.971917066925212,0.860308786579218,0.864289673436485,-0.143916328255145,0.20069465944951
0.973207703367367,0.866638944361795,0.870838489671784,-0.138076249403021,0.211985892604887
0.974498339809523,0.87299254131039,0.877417579310551,-0.132324361459667,0.220757929866407
