"Time","Days","AUC","SE","Lower_95CI","Upper_95CI"
"1-year",365,0.611646702420903,0.0594424169035966,0.495139565289854,0.728153839551953
"3-year",1095,0.612921228099651,0.033929309869889,0.546419780754669,0.679422675444634
"5-year",1825,0.597059568535918,0.0329183938711675,0.53253951654843,0.661579620523407
