"Gene","N","Events","Coefficient","HR","SE","Z","P_value","Lower_95CI","Upper_95CI","FDR"
"DSG1",459,221,0.192168676532664,1.21187491458449,0.0461572114507717,4.16335108843432,3.13610582412985e-05,1.1070537469693,1.32662105396395,9.34302484372325e-05
"DSG3",459,221,0.212824880837934,1.23716798045248,0.0516170201962916,4.12315317754867,3.7372099374893e-05,1.11812970170659,1.3688793075801,9.34302484372325e-05
"FLG",459,221,0.217491417261715,1.24295476150653,0.0555161808796729,3.91762210252018,8.94267514793437e-05,1.11480745307905,1.38583262507325,0.000149044585798906
"DSC1",459,221,0.264338909529745,1.30256957474503,0.0737055154273789,3.58641965932922,0.000335249287520638,1.12736015519169,1.50500928140656,0.000419061609400798
"DSP",459,221,0.112465003837182,1.11903309436315,0.037555161713461,2.99466168446484,0.00274749396832527,1.0396230956567,1.20450870273227,0.00274749396832527
