"Variable","HR","HR_lower_95CI","HR_upper_95CI","P_value"
"RiskScore",2.50949053698734,1.59074649426509,3.95886005591256,7.63017203921951e-05
"Age",1.01987269672095,1.00990291420421,1.0299409011375,8.63589046263122e-05
"Gendermale",1.00204693656623,0.739758475616105,1.35733228638645,0.989463147095831
"Stage_groupStage III-IV",1.68319212376394,1.25834296754637,2.25148135172181,0.00045106087774443
