"Module","DSG3_Pos_Median","DSG3_Neg_Median","P_value","FDR"
"DSG3_EPITHELIAL_MESENCHYMAL_TRANSITION1",-0.0275660739746267,-0.0162707639956056,2.08060772299487e-07,4.85475135365469e-07
"DSG3_INFLAMMATORY_RESPONSE1",0.0491313007614985,0.0510628700132183,0.264637358944972,0.264637358944972
"DSG3_TNFA_SIGNALING_VIA_NFKB1",0.0689694241655133,0.101725883404375,8.74061099542792e-12,6.11842769679954e-11
"DSG3_INTERFERON_GAMMA_RESPONSE1",0.19853428556126,0.221547646339025,0.000129756810562949,0.000181659534788128
"DSG3_APOPTOSIS1",0.0664506454651667,0.089985885426813,3.64479845035167e-10,1.27567945762308e-09
"DSG3_MYC_TARGETS_V11",0.160262145132887,0.190559945316247,0.00180919811243729,0.00211073113117684
"DSG3_OXIDATIVE_PHOSPHORYLATION1",0.0272678182119069,0.0564410872782525,2.03408802032906e-06,3.55965403557586e-06
