"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","negLogP","sig"
0.269520737242807,-0.046779046144681,0.218,0.176,1,"KLHDC2",0,"NS"
0.270041701639927,0.154079188299735,0.12,0.093,1,"SLC25A1",0,"NS"
0.270058230106756,-0.252756717545899,0.218,0.173,1,"PDPK1",0,"NS"
0.270425632041381,-0.580535497883971,0.192,0.148,1,"CRTC1",0,"NS"
0.270629681691706,0.19043992022006,0.113,0.086,1,"CAMK4",0,"NS"
0.271082673549182,-0.0651053847164798,0.523,0.426,1,"NAB1",0,"NS"
0.271115708507001,-0.0597533518398456,0.129,0.099,1,"TM9SF1",0,"NS"
0.271320401140423,-0.00820405206105393,0.221,0.173,1,"NSMCE1",0,"NS"
0.271614018301865,-0.419275386255502,0.793,0.559,1,"EIF2AK2",0,"NS"
0.271629218196432,-0.244416899767625,0.444,0.441,1,"NHP2L1",0,"NS"
0.271835008989931,0.327271475051124,0.124,0.099,1,"LIG1",0,"NS"
0.271860663539407,-0.139877886169751,0.185,0.145,1,"NMRK1",0,"NS"
0.271904033678778,0.0399039950423242,0.254,0.21,1,"ARHGEF2",0,"NS"
0.27203562196632,-0.216793409332356,0.228,0.182,1,"NAA25",0,"NS"
0.272037599289131,0.0583613031340598,0.932,0.815,1,"SPIB",0,"NS"
0.273296004795088,-0.673381172872112,0.096,0.117,1,"TASP1",0,"NS"
0.273693635962429,0.0404284180069583,0.453,0.358,1,"GTF3A",0,"NS"
0.273822128048199,-0.244523037661651,0.237,0.191,1,"GPR114",0,"NS"
0.274090864468659,0.0957261670761378,0.967,0.852,1,"TIGD1",0,"NS"
0.274093245549168,-0.0357205816640871,0.23,0.185,1,"SMNDC1",0,"NS"
0.274168454042568,-0.0855335409403104,0.624,0.577,1,"GIMAP7",0,"NS"
0.274214358809308,-0.0927957983164867,0.244,0.198,1,"ATP13A1",0,"NS"
0.274312591288963,0.0588396710719657,0.918,0.741,1,"ZNF626",0,"NS"
0.274435199691389,-0.248535453094989,0.103,0.077,1,"AMT",0,"NS"
0.274791200079468,-0.224789522064095,0.153,0.117,1,"ZNF226",0,"NS"
0.27485370905112,-0.315827134034453,0.122,0.093,1,"TCEAL4",0,"NS"
0.274904580699927,0.00471527879482536,0.153,0.12,1,"XBP1",0,"NS"
0.274904971942694,-0.296608337418711,0.305,0.327,1,"DNTTIP2",0,"NS"
0.275116008028334,-0.159547743848023,0.357,0.287,1,"FAM133DP",0,"NS"
0.27556834493407,-0.100555616611588,0.749,0.713,1,"HNRPDL",0,"NS"
0.276265957778557,-0.102291933928923,0.108,0.08,1,"DNAJC17",0,"NS"
0.276386723019337,-0.0274597322325072,0.164,0.13,1,"GLO1",0,"NS"
0.27654399313939,0.0271192735824042,0.448,0.364,1,"SLC3A2",0,"NS"
0.277360354908204,-0.035201239098879,0.192,0.157,1,"WWP1",0,"NS"
0.277401870003755,-0.00980527342974558,0.153,0.12,1,"DIP2B",0,"NS"
0.277475029993176,0.192623605460691,0.115,0.09,1,"SLC39A10",0,"NS"
0.277597778666192,0.204447405325897,0.174,0.142,1,"CWC27",0,"NS"
0.277795564041655,-0.0171930445944105,0.775,0.648,1,"HNRNPU",0,"NS"
0.277910870355213,0.0644530906335756,0.134,0.105,1,"PCCB",0,"NS"
0.278334521711099,-0.0388829756279073,0.326,0.275,1,"RBM27",0,"NS"
0.278387256832446,-0.623308441092545,0.11,0.133,1,"VPS26B",0,"NS"
0.278668886129246,0.0439063037244357,0.293,0.247,1,"PKN1",0,"NS"
0.278726793040694,-0.146172534244062,0.242,0.194,1,"PIGS",0,"NS"
0.279083592357358,-0.160624896533629,0.207,0.167,1,"SMC6",0,"NS"
0.279407440492493,-0.1340687103099,0.136,0.105,1,"CAPRIN2",0,"NS"
0.279433189895245,0.0827566961063129,0.155,0.123,1,"GGCT",0,"NS"
0.279830174733919,-0.133600986943997,0.941,0.818,1,"PSMB2",0,"NS"
0.279989920227307,-0.207094430670928,0.469,0.451,1,"AIP",0,"NS"
0.280028743291033,-0.062834591219393,0.317,0.262,1,"PHF21A",0,"NS"
0.280084102747678,0.065867441208795,0.19,0.154,1,"PHF6",0,"NS"
0.280113196147846,0.363500666877229,0.11,0.086,1,"RCBTB1",0,"NS"
0.280127887152947,-0.201891700706454,0.484,0.478,1,"MRFAP1",0,"NS"
0.28030932561053,0.092751625477701,0.134,0.105,1,"COX11",0,"NS"
0.280370293306959,0.0176053518559376,0.216,0.176,1,"CLK4",0,"NS"
0.280389438335894,0.0467405383128204,0.401,0.34,1,"PSPC1",0,"NS"
0.280470886739407,-1.00650296374717,0.124,0.145,1,"VAPB",0,"NS"
0.280991471599656,-0.228427123330681,0.108,0.08,1,"ZNF496",0,"NS"
0.281116077607526,-0.0681583747043578,0.192,0.154,1,"NT5DC1",0,"NS"
0.281276482749377,-0.0913686289650167,0.207,0.164,1,"NAE1",0,"NS"
0.281713692358747,-0.0345851043236511,0.977,0.895,1,"MCTS1",0,"NS"
0.281741310997738,-0.431988213828475,0.362,0.367,1,"NEDD9",0,"NS"
0.281749353721456,-0.2940858022479,0.11,0.083,1,"ANKRD13A",0,"NS"
0.281759544734317,-0.193132797692931,0.209,0.167,1,"ABR",0,"NS"
0.281910299690497,0.0644903384449019,0.979,0.867,1,"PXMP4",0,"NS"
0.282576929414682,-0.161599657976858,0.521,0.531,1,"ARHGAP30",0,"NS"
0.282582656951843,0.215917433286076,0.174,0.142,1,"CENPM",0,"NS"
0.2830139411838,-0.210812858931625,0.129,0.099,1,"THOC5",0,"NS"
0.283017284465387,-0.0134563493838198,0.155,0.12,1,"C17orf89",0,"NS"
0.283044234733391,-0.203685450562299,0.305,0.241,1,"IMPDH1",0,"NS"
0.283348979818803,-0.0385907860770804,0.948,0.901,1,"CBLB",0,"NS"
0.283592184342803,0.0328555587349957,0.127,0.099,1,"NUDT16",0,"NS"
0.283793419391756,0.0270362050645901,0.35,0.302,1,"ABCA2",0,"NS"
0.283907901178131,-0.108411616183209,0.824,0.753,1,"AKAP13",0,"NS"
0.283994737167892,-0.169162893823712,0.192,0.151,1,"TTC31",0,"NS"
0.284286255752677,0.00904414977132001,0.951,0.796,1,"TMEM120B",0,"NS"
0.284779314719208,0.00874155111456373,0.225,0.182,1,"OVCA2",0,"NS"
