"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PPP1R13L",-1.98021001441655,6.84888113879446,-7.46962029633705,1.73432008630346e-11,4.43407835398251e-09,15.8107872758536
"RXRA",-1.61815491033507,7.76682593908748,-7.46155869933058,1.80718311853523e-11,4.5315116697271e-09,15.771099583943
"HOXA9",-1.7727689407324,4.76936247445236,-7.4568907360497,1.85075307329209e-11,4.55320175899162e-09,15.7481253457415
"OR2W1",1.42936472040915,5.37505078683977,7.45173390341519,1.90009797899256e-11,4.58803287927482e-09,15.7227505240509
"NUAK1",-1.66421280130676,6.78593355674258,-7.4441302876309,1.97524534657715e-11,4.68276801345808e-09,15.6853465251714
"PHYHIP",-2.33368716858655,5.31990224810032,-7.43885426809541,2.02911360953242e-11,4.72457363476664e-09,15.6593999132519
"ABHD5",-1.06227056639953,6.47223755609755,-7.42874992537589,2.13637824711735e-11,4.88705894108125e-09,15.6097253397079
"KRT23",-3.53287616919304,6.06304023837209,-7.37235372296392,2.84685786044966e-11,6.40003097282813e-09,15.3328861740312
"ERBB2",-1.72874977644464,7.00681428604625,-7.35491914204435,3.11064536553282e-11,6.87452625782752e-09,15.2474466417133
"MMP28",-2.18526509768606,4.66829736550494,-7.34358135617258,3.29504562024373e-11,7.16068330705966e-09,15.1919218473518
"PTGS1",-1.56684218477338,6.99505385332293,-7.33083370449996,3.51534122916645e-11,7.51418594870515e-09,15.1295274478271
"EMP2",-1.91060162550915,8.65717502925025,-7.30356471558404,4.03679304322044e-11,8.25748479749342e-09,14.9961824221584
"NFKBIE",1.52512389666615,7.27730649709267,7.3008525109092,4.09267243446188e-11,8.25748479749342e-09,14.9829291649205
"ACTG2",-2.59804762234518,6.99164302927944,-7.2997122603247,4.11639321908944e-11,8.25748479749342e-09,14.9773578110488
"ELOVL4",-3.33633883069651,4.11874967727658,-7.28377942363724,4.4624556543749e-11,8.81605443596884e-09,14.8995403736673
"CLEC3B",-2.21915878209668,8.05467619088156,-7.22573644380083,5.98507279013695e-11,1.16476662851635e-08,14.616558351673
"NFIB",-1.68427414977642,6.73268329407428,-7.21818435935625,6.21774419613824e-11,1.18585447948777e-08,14.5797980028087
"WNT4",-2.35578799078554,5.50591687035315,-7.20906713880223,6.51060165167687e-11,1.20890649994532e-08,14.5354375296823
"BSPRY",-1.08147868372852,6.1344351787131,-7.20459264257311,6.65928661668085e-11,1.20890649994532e-08,14.5136738996033
"PBX3",-1.28322609417079,6.80641550763179,-7.20411203025461,6.67545578618476e-11,1.20890649994532e-08,14.5113365237707
"ZBTB16",-1.78711367487153,6.54716081565638,-7.18502016868347,7.35020592374467e-11,1.31286760328365e-08,14.4185318914852
"FBLN1",-1.93727232428066,7.3636099629479,-7.17802566893184,7.61396112246158e-11,1.34160052805103e-08,14.3845542001619
"EPN2",-1.22961714668755,5.23025695861113,-7.15010788732275,8.76339126385279e-11,1.52354478252502e-08,14.2490556845884
"KRT7",-2.25713153308883,4.57177896816008,-7.14393757099517,9.03975688937855e-11,1.55091302737641e-08,14.2191341406119
"SLC47A1",-1.20797585197612,5.94011771238668,-7.10743862769602,1.08602061242483e-10,1.83904191758537e-08,14.0423352084346
"DHCR24",-2.73648700468882,8.0197585999463,-7.10466773855726,1.10123850756368e-10,1.84090370514395e-08,14.0289268384726
"WIF1",-2.2330316991538,4.26399919844388,-7.1003924721219,1.12513370905709e-10,1.85704030789814e-08,14.0082425740172
"ASS1",-2.67970322134599,7.08905380304593,-7.07964910203571,1.24856018755673e-10,2.03499703569402e-08,13.9079494530614
"INAVA",-1.98913792595625,6.93659721378783,-7.06931959955959,1.31493033200365e-10,2.11671316036983e-08,13.8580477739031
"WBP1L",-1.01553362581802,8.09374913984247,-7.05355133144398,1.42303886903814e-10,2.26280534309614e-08,13.781924318719
"EGFR",-1.69619386867874,6.13882447088356,-7.04672992501074,1.47249096770809e-10,2.31323008770432e-08,13.7490129238628
"UBAC1",-1.2756383283371,7.22381278099585,-7.02256686809266,1.66174121585182e-10,2.57945758493951e-08,13.6325300477784
"SNX10",3.82018137271169,8.81751802694144,7.0025965464172,1.83617216340003e-10,2.81668809865565e-08,13.5363743010684
"ANK3",-1.64765429376288,6.2793704295397,-6.93189249829039,2.61233659807796e-10,3.91832530133675e-08,13.1967904603959
"PDZD2",-2.39022076716851,5.08521094449896,-6.93173227765786,2.61442059372879e-10,3.91832530133675e-08,13.1960224647007
"SERPINB2",-1.94589025385354,5.87851780069943,-6.92808105897975,2.66236044907244e-10,3.94483157902904e-08,13.178522737235
"MAOA",-2.0807180790889,5.79382860776141,-6.92145363505174,2.75160943777279e-10,4.03126241113702e-08,13.1467677822759
"CNN1",-2.57794685748159,6.06544274219464,-6.91729568718506,2.80910714459672e-10,4.06977200648852e-08,13.1268513036954
"MATN4",-1.56457614750337,5.13315139696028,-6.90403520023085,3.00053440994069e-10,4.29933716167216e-08,13.0633654410372
"CASQ2",-1.34980226476271,5.33681970624461,-6.90082006541807,3.04885813585874e-10,4.32109361233284e-08,13.047979934387
"PLCH2",-1.72991648924486,5.24803073071295,-6.87914361348016,3.39535873136528e-10,4.7604389783088e-08,12.9443251350576
"FOSL1",1.6742380792232,7.25814097214637,6.87569463190826,3.45397188140342e-10,4.79109993208714e-08,12.9278444086808
"SNHG17",1.18249684401075,8.68136908217361,6.85377167211362,3.85064507458995e-10,5.28511169763982e-08,12.8231644408134
"PAK6",-1.68905952978257,5.73438710133903,-6.82629036251473,4.4120256481484e-10,5.96980931566762e-08,12.6921342076971
"TGM3",-1.47120305966656,6.45671718986646,-6.82496421309575,4.44107296280205e-10,5.96980931566762e-08,12.6858165495702
"PID1",-2.95029922305458,5.15431155866648,-6.82030692603381,4.54458975309553e-10,6.04662303985843e-08,12.6636335970431
"PARD3",-1.71619591418795,6.61117363304613,-6.78953593729059,5.29107684340039e-10,6.9687223193028e-08,12.5172246959694
"MYLK",-2.15569206963136,7.69064060847709,-6.78607900916842,5.38216618705885e-10,7.01780649130603e-08,12.5007935095077
"IPPK",-1.34935003452793,5.92807908630067,-6.76801039020034,5.88409417291593e-10,7.59630731887632e-08,12.4149672927444
"EPHX2",-2.04262802513177,5.51831443712003,-6.76540647354512,5.96014343565574e-10,7.61905002524658e-08,12.4026064315461
"OSBPL2",-1.13622200270737,6.7133053157609,-6.75825066316176,6.17417304401546e-10,7.74086945393439e-08,12.3686477444625
"CXADR",-3.02339577748286,7.16177822371856,-6.74485929535094,6.59531438166389e-10,8.19012421166814e-08,12.3051375785544
"POF1B",-4.37555581231406,4.0683583399901,-6.71758204402474,7.54289646956557e-10,9.27847425157221e-08,12.175934401003
"LEF1",2.05114693719501,7.59944107745024,6.70879518196955,7.87588624736148e-10,9.59754025975199e-08,12.1343606898067
"FGFR3",-3.51754268231647,6.02585029371436,-6.7065644845791,7.9627075993769e-10,9.61349485076625e-08,12.123810121832
"COL17A1",-4.12391776944011,5.50440287032621,-6.69537295792848,8.41277275882611e-10,1.00636829359939e-07,12.070899675825
"CES1",-1.2998463875602,6.9377949377202,-6.67514022543181,9.29111284457989e-10,1.08078889474442e-07,11.9753397460346
"CDC50B",-1.35060908237948,5.47729574696296,-6.6734937874177,9.36645027272942e-10,1.08078889474442e-07,11.9675689555887
"LRP4",-1.296954385822,6.43042798674956,-6.66508526232578,9.76071781311688e-10,1.11640350495817e-07,11.9278954582268
"TPM2",-2.1838370973574,6.35016618161406,-6.6520564355039,1.04042306181569e-09,1.17965880895781e-07,11.8664643594444
"MEGF6",-1.56285090967461,6.66743317444572,-6.63504092988358,1.13081055604121e-09,1.26022554189926e-07,11.7863134898867
"COBL",-2.1362705023867,5.68919977912729,-6.60242958722368,1.32625239020182e-09,1.45319369040685e-07,11.6329462550674
"CTNNBIP1",-1.48432546199387,8.52490214475413,-6.59413358485698,1.3810744208582e-09,1.50065244779751e-07,11.5939833669923
"GJB3",-1.73993394463872,6.93113783227226,-6.59075022195541,1.40406947415659e-09,1.51271384900277e-07,11.5780992260988
"STARD5",-1.37247087834913,7.07550523262891,-6.58910641861269,1.41537763308795e-09,1.51271384900277e-07,11.5703832134441
"PSORS1C2",-2.92549795831592,5.77096985186812,-6.55033142110865,1.70979937442699e-09,1.79790919702851e-07,11.3886175900563
"TRIB2",2.23146594234697,8.88931362643669,6.54839588943811,1.72598395994657e-09,1.80040838829947e-07,11.3795567376822
"PHLDA1",1.50331123439777,7.93697593768053,6.5388510923817,1.80803398017691e-09,1.87102817996244e-07,11.3348917139082
"DUSP4",2.7197672641725,8.75940323537567,6.53403896614201,1.85084835125742e-09,1.90025288598783e-07,11.3123842067772
"ECM2",-1.54840631100943,5.9468424933534,-6.53024734836536,1.88528652914808e-09,1.92048836355951e-07,11.2946550342997
"EMX2",-1.84584533453817,5.0881113295073,-6.50398124462214,2.14184858885747e-09,2.13309862259061e-07,11.1719632308386
"TPM1",-1.20931717409034,7.94989228993977,-6.5027666093612,2.15451204561856e-09,2.13309862259061e-07,11.1662948650232
"SLIT3",-1.04633956897533,6.68392086315716,-6.5022961059801,2.1594372128381e-09,2.13309862259061e-07,11.1640992832188
"GATM",-2.14750934230145,7.17109489866792,-6.49525737290887,2.23445778677165e-09,2.19060865276057e-07,11.1312618401302
"FERMT1",-2.354064542731,6.01003671540585,-6.48929720512084,2.29998910926141e-09,2.22001544842439e-07,11.1034686119047
"CYP3A5",-1.26214110333115,5.35805244848515,-6.48885813161823,2.30489098121391e-09,2.22001544842439e-07,11.1014215928695
"LRRC8D",1.1889844328819,8.33771816088586,6.46368530874328,2.60384870144151e-09,2.4602596534852e-07,10.984166628957
"ABHD6",-1.09874897863197,6.34993476069509,-6.45489493945524,2.71700737922071e-09,2.54870929623445e-07,10.9432695030973
"TLCD3A",-1.83326533762534,7.72078207354965,-6.44844599052503,2.80309658585052e-09,2.61068402735036e-07,10.9132818276281
"FAT2",-1.80496562436595,5.76614638675954,-6.43792396375182,2.94936989701282e-09,2.72743504164186e-07,10.8643834811182
"RAPGEFL1",-3.5141357952653,4.68821043967073,-6.43612752203336,2.97508495636199e-09,2.73184033422563e-07,10.8560386160957
"ATP2C2",-1.32509716414219,5.25024411044114,-6.42710044729109,3.10768786288726e-09,2.81396819751299e-07,10.8141219214793
"IL18",-1.97717832212072,5.83349816701037,-6.39533159861025,3.62239051387666e-09,3.25740344209916e-07,10.6668190338481
"HMGCR",-1.58121544508721,6.25357853002379,-6.38774002212134,3.75732853280353e-09,3.3556032013168e-07,10.6316687106792
"RNASE4",-1.545223941459,6.18527564086291,-6.36881219396332,4.1157267730195e-09,3.65067764580961e-07,10.5441134721646
"CHST11",1.5915084228352,6.64290911137306,6.35742039288284,4.34746246927613e-09,3.8301731849251e-07,10.491475942968
"SLC24A3",-1.86592460332498,5.17404517928826,-6.33908194769082,4.74780446320818e-09,4.15480687219943e-07,10.4068324769489
"CWH43",-1.82771527592432,5.1965062319339,-6.30596290095561,5.56496122820442e-09,4.8374352969705e-07,10.2542571872942
"STMN1",1.61764303358137,9.65803860928032,6.28413286716642,6.17782490693445e-09,5.30087391739804e-07,10.1538948121221
