"Gene","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"DSG3",-1.2090252262378,0.0574698329326791,0.468279658910238,0.791251167940167,0,-5.04330687813563,4.57554544475158e-07,1.3054822112498e-05,-2.19064701957384,1
"DSG1",-1.62775320976236,0.0603460325853082,0.15490461667996,0.925471160600114,0,-6.62619479403407,3.44451134282053e-11,3.05530499313176e-09,-4.24883090260457,1
"FLG",-1.6902651859072,0.0617970643787693,1.77954866888241,0.410748434069359,0,-6.79940521631376,1.05051523036082e-11,1.06183473555618e-09,-5.16511108095773,1
