"Gene","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"PTPN21",-1.79636392022789,0.335952115716529,10.6943434023074,0.00476159919820304,0.818364461607478,-3.09924303217621,0.00194015798718228,0.0157128695620309,-1.0108532543161,1
"CYP2E1",-1.49778454060152,0.141190648173474,4.52220694734686,0.104235400250067,0.236134648695888,-3.9860833687664,6.71729179573255e-05,0.00093675687405943,-1.11148852557262,1
"EPHB3",-1.64638437180537,0.144754897112493,4.59817582139564,0.100350330457306,0.245261285745611,-4.32727606386377,1.50964701999268e-05,0.000260719039651451,-1.20446565794196,1
"GAS6",-1.64966522768203,0.174296735253678,5.6674382577245,0.0587937848871493,0.337617685033445,-3.95140180634194,7.76947504657066e-05,0.00106079775007576,-1.26234910055786,1
"PLD1",-1.47882375200893,0.278736174570105,9.20157592712391,0.0100439183840415,0.653651610676736,-2.80104283055109,0.00509377579337844,0.0337204019437931,-0.628147799573915,1
"PARK7",1.47435263483082,0.0916067257899954,2.97971242394904,0.225405063758477,0.0909120974358533,4.87121939067642,1.10911600015307e-06,2.80954676057049e-05,0.455656628681264,1
"CBX3",1.18547070087565,0.0725877672505466,2.5098002438376,0.285104322475124,0.0445252732677756,4.40006513800406,1.08218388754633e-05,0.000196253069676169,0.785107632008406,1
"HSP90B1",1.34366464333697,0.0797964525678214,2.65239550408269,0.265484783637769,0.0593782924841286,4.75662700381387,1.96854409928449e-06,4.61651915657741e-05,0.676975723156971,1
"DSP",-1.75805147881513,0.265264419741148,8.07232857008534,0.0176651009227007,0.596957981749874,-3.41343853580059,0.000641486266585112,0.00630794828808693,-4.34410054241063,1
"WARS1",1.76885908822753,0.128365534685991,3.97976994655397,0.136711149976718,0.191740553776955,4.93706699138281,7.93062348236617e-07,2.10177641436123e-05,1.67009974257939,1
"PTPRF",-1.89706849957018,0.194752852800297,5.92640622278563,0.0516532009542065,0.386512562615811,-4.2987392095642,1.71772444053087e-05,0.000288626404382499,-1.97873518352995,1
"MARCKSL1",3.13711627857384,0.767434653428477,18.2430466694366,0.00010928806815866,2.03872363136495,3.58104611262453,0.000342221242239926,0.00370001888687098,1.87751834830717,1
"CD63",2.36559972199194,0.294450462031312,8.15338994378273,0.0169634377456539,0.664276472935642,4.35948452545451,1.30369171860156e-05,0.000228786491505327,0.971297196897529,1
"PTTG1IP",1.49622696713337,0.0597080862075341,0.310580083275229,0.856166817442176,0,6.12323464853263,9.16944964401978e-10,5.33752026376669e-08,0.744192029568838,1
"GSN",-2.04586262444584,0.439752211477582,12.5990118132085,0.0018372123072757,1.10562451711174,-3.08512277821783,0.00203468141418939,0.0163262836674556,-1.14785383894907,1
"HK1",-1.02618561892383,0.0603051986126378,2.1254925518671,0.345505652371255,0.0108510849996449,-4.17877076846185,2.93088911478279e-05,0.000459325278457365,-0.499910672956108,1
"TPP1",1.41346196274027,0.0590810757972568,0.224997948766944,0.893598263597194,0,5.8151367006171,6.05843553103114e-09,2.86217177134475e-07,0.882923247389365,1
"CALU",1.60816088157793,0.140721281892036,4.45175118078527,0.107972837254632,0.23237552771825,4.28696168898647,1.81133517189735e-05,0.000302794862902174,1.21986290606465,1
"GNAS",1.66071458740762,0.320740537825441,9.82715911824418,0.00734614524994602,0.764108216864212,2.93236531505544,0.0033639079555019,0.0245450452332341,0.685088333952196,1
"ANXA5",2.00986780405214,0.533146794046143,15.234091945418,0.000491993047480498,1.38420208382889,2.752606254189,0.00591229571125518,0.0375211704308704,0.917111264536231,1
"STMN1",2.13722081404291,0.145429352280242,4.3028601559311,0.116317695401584,0.233487121057299,5.60432561488182,2.09067356760073e-08,8.62667488859049e-07,1.27834454823805,1
"PAFAH1B1",-1.3829864308788,0.133348206746708,4.34085716965561,0.114128692601411,0.215674658976676,-3.78725309529176,0.000152321923193588,0.00188258346589687,-0.536795738523084,1
"PLOD1",1.76424943590734,0.235692850665588,7.18562636172355,0.0275208004323599,0.508870743026374,3.63401556123444,0.00027904402093526,0.00309392431035276,1.14143422787632,1
"CTSB",2.40263465932538,0.443242592790479,12.0197451391133,0.00245440092588495,1.10350564230075,3.60883473665979,0.000307575462263676,0.00336167347230182,1.58422976108888,1
"H2AZ1",1.53627801612663,0.170467903994368,5.40970401269379,0.0668802209624413,0.321838385876449,3.72090434264769,0.00019851062656695,0.00234667276501039,0.895436842019811,1
"NOP56",1.55019202673377,0.120995319312928,3.87124333009646,0.144334513205354,0.175656607491662,4.45657493949975,8.32794972649431e-06,0.000156332142771755,0.593335760021719,1
"UQCRC2",-1.13510150336753,0.0579312445951846,1.89559781449972,0.387593213848399,0,-4.71604857202223,2.40469051426828e-06,5.46563497308774e-05,-0.491772820164476,1
"PHC2",1.78742364275467,0.184784108933715,5.6514180591954,0.0592666201407362,0.357453128491417,4.15810247493549,3.20902073127627e-05,0.000492843596173278,0.873988287627445,1
"VCL",-1.73015409086754,0.216287050891436,6.75617130848342,0.0341126957621691,0.456139996429297,-3.72022772024407,0.000199043227136153,0.0023508375349894,-0.731360490885083,1
"SDCBP",2.16333894166008,0.189177141591735,5.4935621983845,0.0641339701950147,0.360289023777738,4.97382199366068,6.56455920955423e-07,1.77583584094145e-05,1.17530951782758,1
"SEPHS2",1.58635300527506,0.141908854600682,4.51133454748567,0.104803587716737,0.236897215063868,4.21109547851773,2.54135300394864e-05,0.000407084788924894,0.698903980365109,1
"ABLIM1",-2.09684448057617,0.449355987734961,12.764147829433,0.0016916110591239,1.13239062322711,-3.12803032138908,0.00175982025452281,0.0144954493358958,-2.38563607087071,1
"PPT1",1.22836359348532,0.155897170231365,5.2132772313807,0.0737821375204369,0.287269872232999,3.11105593944151,0.00186419621029765,0.0152015349506386,0.490512987808251,1
"PRDX2",-1.40723134593616,0.0632519665138948,2.11104042083299,0.348011341084122,0.0101859691416134,-5.59536580292499,2.20157083674621e-08,9.02713274853267e-07,-1.21518248491227,1
"TXNIP",-1.22504875322975,0.0661476203101213,2.24589125710544,0.325320109675424,0.0220434963064617,-4.76317195478161,1.90573309799547e-06,4.50977384115479e-05,-0.933722643093687,1
"PAICS",1.07671444896992,0.0819024192515132,2.79379001401126,0.247363835736738,0.0702822894791995,3.76228920089159,0.000168365199912479,0.00204037325948393,0.584980096189189,1
"JUP",-1.48805527296984,0.0593882830267982,0.440225360867304,0.802428374890861,0,-6.10616700735203,1.02052233330596e-09,5.88787199290993e-08,-2.99045247983003,1
"DSTN",-2.21799621016917,0.551054172482454,15.2377427455568,0.000491095782520395,1.43012953827318,-2.98788344632224,0.00280916661889474,0.0211482237550627,-0.904037373588107,1
"LDHB",1.57773605200387,0.177237083834764,5.80572386204481,0.0548659725191077,0.347673521313964,3.74763297492765,0.000178511204663501,0.00214526045862432,0.957415526965212,1
"HADH",-1.76081000904969,0.310578719884892,9.39512500420282,0.00911747386180639,0.731117170228499,-3.1595603158403,0.00158007391183834,0.0132560796105962,-0.732803479775474,1
"KPNA2",1.85899690229482,0.414888289640858,12.2525552819848,0.00218469807449325,1.03796612213003,2.88611131616319,0.00390034179193677,0.0275521530464905,1.01978422594675,1
"PGRMC1",-1.07686938690877,0.153799369177263,5.15638932731242,0.0759109251433718,0.282073459848754,-2.74590655603508,0.00603439484364254,0.0381398324606181,-0.547442277461996,1
"NFE2L2",-1.20442422840103,0.0574012917349855,0.927238879833862,0.629002882314041,0,-5.02711303434149,4.97918887454318e-07,1.41138355946019e-05,-0.652505998585042,1
"YBX3",-2.05807549233534,0.289545729504559,8.3998980441397,0.0149963412834307,0.659557761710132,-3.82474705696355,0.000130906416493604,0.00164757602766419,-1.13835955671117,1
"FBXO7",1.37962416081928,0.178615833010903,5.77032816370533,0.0558456255309814,0.349488470388456,3.26438079926872,0.00109703613276801,0.00983786391689281,0.647998144131887,1
"GNAI3",-1.52567094613558,0.096765769606068,3.14223070775547,0.207813267713625,0.105898016955617,-4.9045593961355,9.36372849258404e-07,2.43699911805995e-05,-0.75383406019816,1
"PITPNA",-1.00173406552815,0.116639159524654,4.04972899311839,0.132011730019583,0.177006825085047,-2.93312284251255,0.00335571090252174,0.0244989442653868,-0.443415759894966,1
"CREG1",-1.42890130429091,0.293037327319859,9.29183794847128,0.00960070280594257,0.688251185338884,-2.63961604961018,0.00830000008237675,0.0487494148982479,-1.01972254439367,1
"DDX3X",-1.0927776864426,0.0575972760942508,1.95195923668425,0.376823029942728,0,-4.55334802543357,5.27988178400385e-06,0.000107067462801907,-0.488770851014844,1
"CTBP2",1.32086422217805,0.0775761482217076,2.58645505704824,0.274383770983906,0.0533197264090644,4.74235510446663,2.11247913295409e-06,4.90991362113875e-05,0.668890438697708,1
"BTG2",-1.71343695056253,0.379159474319331,11.4931571757175,0.00319368905154691,0.936615250251339,-2.78264095027639,0.00539184391788861,0.0351697112783139,-1.14304267509312,1
"RAF1",-1.72226444762125,0.14964077034863,4.70993064099096,0.0948967974514752,0.258145038048486,-4.45220208799013,8.49941161495948e-06,0.000159001188016437,-0.524139066996569,1
"TXNRD1",1.25479760414978,0.0580641114103021,0.350277353807261,0.839340615540381,0,5.20738621066568,1.91519208492252e-07,6.11312404325251e-06,0.718365057463697,1
"AKR1B1",1.42825724265587,0.163179814991288,5.25297865237492,0.0723319509062589,0.302725604783881,3.535682156919,0.000406723729316605,0.00427338493679227,0.877849323979998,1
"TRAK1",-2.08630122001618,0.571343684195794,16.0917532851562,0.000320420410191563,1.49498137474873,-2.76012211341835,0.0057779759749299,0.0370398371372227,-0.677404383036863,1
"SDC1",-1.79140021525671,0.0620579711293423,0.452899534873345,0.797359394713301,0,-7.19107528577256,6.42819131257966e-13,8.73095692965897e-11,-2.35530441028232,1
"SEC11A",1.32878387726284,0.182341362849727,5.93027487916469,0.0515533832827126,0.361774837962857,3.11180053944277,0.00185950090486031,0.0151727361066794,0.469870001466858,1
"ANXA4",-1.18303906161945,0.0574123916996817,0.0224763786972792,0.988824723206329,0,-4.93737671802728,7.9180428391723e-07,2.10177641436123e-05,-0.68173487054762,1
"ENO2",1.77517550114466,0.389880695579847,11.6965070647491,0.00288493320335136,0.966531594789756,2.84299063792823,0.00446923832052093,0.0305581533619677,2.09120402760222,1
"ETS2",-2.25595832023575,0.294647446129592,8.30044349306438,0.0157609211677185,0.668615474349592,-4.15604011705953,3.23810990434659e-05,0.000495560035713323,-1.80093328029298,1
"ARHGEF12",-1.4200483705657,0.0693313902068554,2.30528222991437,0.315801598647883,0.0280171212023925,-5.39309640374994,6.9253772272404e-08,2.49447496314883e-06,-0.569608175318002,1
"GTF3A",1.24830070409618,0.0853996410681034,2.86158478645496,0.239119370584137,0.0776026646515871,4.2716060484896,1.94070198031859e-05,0.000322354307278651,0.541701017602096,1
"SCP2",-1.17188797527879,0.0578685662612617,0.981432345743817,0.612187804851923,0,-4.87152276897464,1.10741397918446e-06,2.80954676057049e-05,-0.561816545929623,1
"SNRPC",2.22467275026115,0.678520376192096,18.6150580027443,9.07384830536915e-05,1.80925751364837,2.7007518865124,0.00691829278264477,0.0422914297200681,0.844258508099773,1
"ANXA7",-1.50666577490864,0.089404013952486,2.90090293078434,0.23446441162827,0.083837152467109,-5.03893103222924,4.68139126130751e-07,1.32986188793439e-05,-0.659955755238067,1
"ZFP36L2",-2.36852083906311,0.495415724614947,13.4885571792956,0.00117759790427645,1.26051585694714,-3.36505615982565,0.000765280808298074,0.00733712974955779,-1.18812860104926,1
"CUL3",-1.06283611257363,0.0571421172622747,0.768167429983606,0.68107440865439,0,-4.44619123527173,8.74061455524711e-06,0.000163045598263043,-0.432875859233847,1
