"Gene","Com.ES","ES.var","Qval","Qpval","tau2","Zval","Pval","FDR","AveFC","propDataset"
"DDR1",-0.951958539052592,0.0561680885266385,1.18295993276847,0.55350750575953,0,-4.01673528701771,5.90099450932247e-05,0.000841656627163751,-0.691091257531056,1
"RFC2",1.43328481213808,1.27681682955645,36.7324665353435,1.05595701216737e-08,3.61127992335655,1.26843494927063,0.204642667406169,0.44658338749942,0.593194827234111,1
"HSPA6",0.758502661211055,0.0666979100171312,2.36801117286686,0.306050368867483,0.031507162297404,2.93698004731083,0.00331425426797538,0.0242505956229691,0.75684449230234,1
"PAX8",0.0102907804469848,0.126541623206033,4.54022894352968,0.103300354432381,0.212173345298141,0.0289288794770706,0.976921312764364,0.991175200032186,0.00385232517561064,1
"GUCA1A",-0.227683525140617,0.509190821569767,17.4474118069627,0.000162683184239013,1.35046134911099,-0.3190739314373,0.749670450990886,0.888164931884851,-0.0835223003757087,1
"UBA7",-0.142195165186572,0.148275541059971,5.28333186358318,0.0712424855192677,0.275973251729109,-0.369275139913475,0.711922653597771,0.866338826276734,-0.115066073642607,1
"THRA",-0.148410056917602,0.0908317521098567,3.27458509108117,0.19450594603039,0.106307729477142,-0.492429980167154,0.622415409737267,0.815809663004043,-0.0634286863258472,1
"PTPN21",-1.79636392022789,0.335952115716529,10.6943434023074,0.00476159919820304,0.818364461607478,-3.09924303217621,0.00194015798718228,0.0157128695620309,-1.0108532543161,1
"CCL5",0.781521343217557,0.248133988690056,8.63381343902193,0.0133410875075681,0.570285109366971,1.56890885661905,0.116669177897452,0.316333834602802,1.18575111445181,1
"CYP2E1",-1.49778454060152,0.141190648173474,4.52220694734686,0.104235400250067,0.236134648695888,-3.9860833687664,6.71729179573255e-05,0.00093675687405943,-1.11148852557262,1
"EPHB3",-1.64638437180537,0.144754897112493,4.59817582139564,0.100350330457306,0.245261285745611,-4.32727606386377,1.50964701999268e-05,0.000260719039651451,-1.20446565794196,1
"ESRRA",0.163942064105492,0.559136160714839,18.9614011829983,7.63104559660947e-05,1.49785677884282,0.219245964676075,0.826458451738131,0.924579872385161,0.0101026552064935,1
"CYP2A6",-0.210972764394287,0.343045753755685,11.9989490304393,0.00248005506550365,0.855995187039175,-0.360205524653825,0.718693443555383,0.870788978601058,-0.0583017125664635,1
"GAS6",-1.64966522768203,0.174296735253678,5.6674382577245,0.0587937848871493,0.337617685033445,-3.95140180634194,7.76947504657066e-05,0.00106079775007576,-1.26234910055786,1
"MMP14",1.39183928239842,0.638011568452297,19.5636913496738,5.64674792039912e-05,1.71403941952099,1.74250812923881,0.0814195702395752,0.252041052189898,0.816916881062038,1
"TRADD",-0.595365547508774,0.173229101186795,6.14490869730181,0.0463073608608274,0.349871808813598,-1.4304519475949,0.152587347911727,0.3765662674175,-0.243926945289866,1
