"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.00135742705852336,-1.11838131029294,0.893477358884637,6629.71094351444,6632.80106553866,7220.21910311437
2,0.211058817206336,-8.03237466731071,0.962937063557193,3468.15336038574,3456.52779853932,4210.32546959788
3,0.445969397524864,-8.75345751190538,0.985829620156105,1863.31381630189,1844.6215327935,2565.50268817197
4,0.6020974246642,-8.5481415915824,0.993708807299116,1026.74203871988,1008.79573310007,1621.88929312035
5,0.672255047156123,-7.59090328088926,0.995461702925117,579.613728604879,564.122070346115,1057.27391351558
6,0.708979538481868,-6.47169520270101,0.994772324924131,334.905125253545,323.417529269918,707.084236136246
7,0.726481137364308,-5.63116103986709,0.992032996344082,197.919310286369,188.554365463416,483.182633353869
8,0.742020787125623,-4.81418546088259,0.993445940400124,119.557415359848,112.075827681781,336.292551846843
9,0.805781051118385,-3.67761709675667,0.99056367819504,73.7864687426351,67.6340157134685,237.789978216157
10,0.877441155180796,-3.21387981727384,0.98261080076118,46.5072618375777,41.475614993079,179.462810548593
11,0.91848588621997,-3.09617741720855,0.978766023674015,29.9277370012742,25.7294677186507,147.31385467237
12,0.950745877590129,-2.92792727293958,0.982263018024092,19.6573661842963,16.1858854590122,123.433871067981
13,0.967544047324055,-2.76700532601655,0.980398718185372,13.1758469669387,10.2735122794421,105.174041275941
14,0.979340941286376,-2.60512415419955,0.984869636398258,9.01032478862424,6.60822449415067,90.8563276882184
15,0.984841475652112,-2.4450871807797,0.98461979982599,6.28507334969515,4.28313854176648,79.3844139583335
16,0.989297283477494,-2.31472745438789,0.9885675568679,4.47063213473497,2.80166382388531,70.5667770088645
17,0.993717646191196,-2.19073565446487,0.993421579456484,3.24166504476176,1.8562386159433,63.5928220816554
18,0.994930718937306,-2.08673547923765,0.994510259958593,2.39509563495647,1.23517490765314,57.7058444571912
19,0.988717286700349,-1.9978366710746,0.986657541883822,1.80220980568338,0.827598678695943,52.6725486492899
20,0.986655337740299,-1.91305587482336,0.984514118640377,1.38020272442741,0.561343544181779,48.321237927684
