"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0008544","epidermis development",209,-0.628842404866536,-2.95692104275386,1e-10,2.82105263157895e-08,1.81809013865541e-08,1886,"tags=51%, list=14%, signal=44%","BCR/SVEP1/ATP7A/KRT85/EMP1/FOXC1/VDR/AKR1C3/WNT16/JAG1/CDH3/PLEC/PPP3CA/CSTA/STS/ZFP36L1/HES1/TXNIP/KRT75/SPRR2D/KRT6A/S100A7/ZFP36/LSR/NCOA3/CRABP2/KRT6B/SLC44A4/ST14/KRT16/LAMB3/SPRR1A/DSP/ESRP1/PPL/SPRR1B/BMP4/AGPAT2/PAFAH1B1/KRT14/GAL/ALOX15B/KRT17/KRT4/EREG/BNC1/LAMA3/SPINT1/FOXN1/CLDN1/KRT1/SFN/FA2H/MYO6/JAG2/KRT5/KRT7/ALOX12/LORICRIN/LAMC2/COL7A1/TCHH/SLC39A2/FLG/KRT10/IVL/ELOVL1/SPINK5/ABCA12/FERMT1/POU2F3/KLK5/KLF4/SCEL/KRT15/KLK7/CALML5/KRT9/AQP3/TGM1/LCE2B/DSC1/TRIM16/CDSN/KRT31/TGM3/ALOX12B/SULT2B1/ZNF750/TGM5/OVOL2/KRT2/ALOXE3/CLDN4/EVPL/PKP1/KPLCE/GJB5/PKP3/ALDH3A2/GRHL2/OVOL1/TP63/FGFR2/COL17A1/EXPH5",NA
"GO:0030216","keratinocyte differentiation",95,-0.681736351996914,-2.90041961776109,1e-10,2.82105263157895e-08,1.81809013865541e-08,1886,"tags=59%, list=14%, signal=51%","BCR/KRT85/FOXC1/VDR/AKR1C3/WNT16/JAG1/CDH3/PLEC/PPP3CA/CSTA/ZFP36L1/TXNIP/KRT75/SPRR2D/KRT6A/S100A7/ZFP36/NCOA3/KRT6B/ST14/KRT16/SPRR1A/DSP/PPL/SPRR1B/KRT14/ALOX15B/KRT4/EREG/FOXN1/KRT1/KRT5/KRT7/LORICRIN/TCHH/SLC39A2/FLG/KRT10/IVL/ABCA12/POU2F3/KLK5/SCEL/AQP3/TGM1/LCE2B/TRIM16/CDSN/TGM3/OVOL2/KRT2/EVPL/PKP1/GRHL2/EXPH5",NA
"GO:0043588","skin development",165,-0.619209502719504,-2.85271699346161,1e-10,2.82105263157895e-08,1.81809013865541e-08,2086,"tags=53%, list=16%, signal=45%","IL18/NUMA1/HDAC3/TRAF3IP2/BCR/ATP7A/KRT85/FOXC1/VDR/ITGA6/AKR1C3/WNT16/JAG1/CDH3/PLEC/PPP3CA/CSTA/ZFP36L1/TXNIP/PSEN1/KRT75/SPRR2D/KRT6A/S100A7/ZFP36/LSR/PKD1/NCOA3/KRT6B/ST14/KRT16/SPRR1A/RYR1/DSP/PPL/SPRR1B/KRT14/GAL/ALOX15B/KRT17/KRT4/EREG/FOXN1/CLDN1/KRT1/SFN/FA2H/KRT5/KRT7/ALOX12/LORICRIN/TCHH/SLC39A2/FLG/KRT10/IVL/ELOVL1/SPINK5/ABCA12/FERMT1/POU2F3/KLK5/KLF4/SCEL/ITGA2/KRT9/AQP3/TGM1/LCE2B/DSC1/TRIM16/CDSN/TGM3/ALOX12B/ITGB4/DHCR24/OVOL2/KRT2/ALOXE3/CLDN4/EVPL/TFAP2B/PKP1/PKP3/GRHL2/TP63/FGFR2/EXPH5",NA
"GO:0009913","epidermal cell differentiation",130,-0.628812451548981,-2.76763899346548,1e-10,2.82105263157895e-08,1.81809013865541e-08,1886,"tags=52%, list=14%, signal=45%","BCR/KRT85/FOXC1/VDR/AKR1C3/WNT16/JAG1/CDH3/PLEC/PPP3CA/CSTA/ZFP36L1/HES1/TXNIP/KRT75/SPRR2D/KRT6A/S100A7/ZFP36/NCOA3/KRT6B/SLC44A4/ST14/KRT16/SPRR1A/DSP/ESRP1/PPL/SPRR1B/BMP4/PAFAH1B1/KRT14/ALOX15B/KRT4/EREG/FOXN1/KRT1/SFN/MYO6/JAG2/KRT5/KRT7/LORICRIN/TCHH/SLC39A2/FLG/KRT10/IVL/SPINK5/ABCA12/POU2F3/KLK5/SCEL/AQP3/TGM1/LCE2B/TRIM16/CDSN/TGM3/SULT2B1/OVOL2/KRT2/EVPL/PKP1/GRHL2/OVOL1/EXPH5",NA
"GO:0031424","keratinization",35,-0.780575436737875,-2.75434024827257,1e-10,2.82105263157895e-08,1.81809013865541e-08,1535,"tags=71%, list=12%, signal=63%","CDH3/KRT75/SPRR2D/KRT6A/KRT6B/KRT16/SPRR1A/PPL/SPRR1B/KRT4/KRT1/KRT5/KRT7/LORICRIN/TCHH/FLG/KRT10/IVL/KLK5/TGM1/LCE2B/CDSN/TGM3/KRT2/EVPL",NA
"GO:0050869","negative regulation of B cell activation",24,0.784047265690902,2.61417435869935,4.79446377525026e-09,8.03072682354419e-07,5.17558059026682e-07,1372,"tags=62%, list=11%, signal=56%","FCGR2B/LAPTM5/TYROBP/SAMSN1/CD300A/IL10/LYN/ATM/TNFRSF21/INHBA/CDKN2A/CTLA4/CR1/BTK/MNDA",0.761460801445585
"GO:0030888","regulation of B cell proliferation",50,0.63269486506768,2.50265666382252,2.51702990027574e-08,2.75332250315877e-06,1.77443995035613e-06,2300,"tags=56%, list=18%, signal=46%","FCGR2B/CD38/TYROBP/CD300A/IL10/LYN/PTPRC/TNFSF13/ATM/TNFRSF21/CD74/CDKN2A/SASH3/CD320/CTLA4/NCKAP1L/GPR183/BTK/EBI3/MNDA/IL27RA/TCF3/MEF2C/IL12RB2/BMI1/TNFRSF4/MZB1/CD22",0.73376198835648
"GO:0016126","sterol biosynthetic process",59,-0.640306631857764,-2.5014550038045,1.21707537275409e-09,2.41611999924517e-07,1.55712229373655e-07,2520,"tags=58%, list=19%, signal=47%","SREBF2/FDPS/FDFT1/ERLIN2/INSIG2/ERLIN1/ERG28/PAQR3/CYB5R3/CES1/SCAP/CYB5R2/SQLE/NSDHL/FAXDC2/LSS/IDI1/INSIG1/ACAA2/EBP/GNAI1/TM7SF2/SC5D/HMGCS1/LPCAT3/DHCR7/CYB5R1/MVD/MSMO1/MVK/PMVK/DHCR24/HMGCS2/HMGCR",0.788186810800237
"GO:0061436","establishment of skin barrier",20,-0.81801029237101,-2.49450669529997,1.46991338805593e-08,1.84147227303662e-06,1.18677778030018e-06,2086,"tags=90%, list=16%, signal=76%","IL18/HDAC3/PLEC/LSR/KRT16/CLDN1/SFN/FA2H/ALOX12/FLG/ELOVL1/ABCA12/KLF4/DSC1/ALOX12B/ALOXE3/CLDN4/TP63",0.747739663149885
"GO:0098773","skin epidermis development",56,-0.642648522130505,-2.46481384680882,2.58545727450987e-09,4.7786382728872e-07,3.07969976273532e-07,2086,"tags=52%, list=16%, signal=44%","IL18/NUMA1/HDAC3/ATP7A/CDH3/PLEC/LSR/KRT16/GAL/KRT17/FOXN1/CLDN1/SFN/FA2H/ALOX12/FLG/ELOVL1/SPINK5/ABCA12/FERMT1/KLF4/DSC1/TGM3/ALOX12B/ALOXE3/CLDN4/PKP3/TP63/FGFR2",0.774939030136436
