"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0002521","leukocyte differentiation",452,0.223373338392282,1.22589256759411,0.0350265913922333,0.19808865208336,0.123186137603652,3612,"tags=36%, list=28%, signal=27%","SNX10/LEF1/CCL3/SOX12/CTSL/TRIB1/IFI16/IL15/CD3G/CCR1/LAG3/CDKN2A/CD80/MMP9/PSMB4/BTNL3/IL2RA/IRF4/UBD/ST3GAL1/NEDD9/CTLA4/PPP2R3C/CEACAM1/SLAMF8/IL2RG/DOCK10/TREM2/IL12B/TNFSF18/AP3B1/SOX13/LILRB1/CARTPT/TOX/SLC4A2/FLT3/OSTM1/SMARCB1/FES/CD8A/TRPM2/ENTPD7/SOCS3/ACTB/AGER/CD1D/CD2/CD28/CR1/STAT4/PTPRJ/PARP1/GPR65/NCAPH/CD86/STAT5A/SLC39A7/PIK3CD/TBX21/TLR2/CASP8/SMARCD1/CD69/PSMB10/TCTA/FANCA/PIR/JAK3/IKZF3/CCN4/PIK3R3/PAX5/TNFSF9/LILRB4/TNFSF4/ICOS/ITGA4/IL12RB1/NPM1/POU4F1/AQP8/MR1/TRAF6/IL18R1/CD3D/PRKCA/BATF3/CRTAM/IL17A/LAPTM5/IL1B/SRC/CHD7/TNFSF8/PTPN22/TMEM131L/DNAJB9/AICDA/P2RX5/ATF2/CD27/SOX4/VCAM1/TYROBP/CLPB/LGALS9/IFNG/MDK/CD3E/IKZF1/RELB/VNN1/CLCF1/GPHRB/SPIB/EFNA2/LILRB3/CDH17/INHBA/BATF/PRR7/EVI2B/RUNX1/CALCA/LILRB2/ATM/ICOSLG/IL7R/MMP14/IRF1/GPR183/IHH/RSAD2/SIGLEC15/CD46/CCR7/TLR4/CEBPE/BMI1/IL4/LMBR1L/LCK/PTPRC/OPA1/ADAM8/SMC4/LY9/VEGFA/ZAP70/HHEX/UCP2/SOCS1/BGLAP/TMEM176B/IL6R/POU2AF1/GPHRA/PRKDC/PRDM1/CD79A/DCAF1",0.321775918075361
"GO:0070669","response to interleukin-2",11,0.481622283330267,1.22582619259514,0.211573236889693,0.509219824754716,0.316670454077019,1478,"tags=45%, list=11%, signal=40%","IL2RA/IL2RG/CITED1/STAT5A/JAK3",0.12563992130984
"GO:0045745","positive regulation of G protein-coupled receptor signaling pathway",33,0.352090879342939,1.2257463718492,0.164510166358595,0.451695543720084,0.280897612349057,1996,"tags=30%, list=15%, signal=26%","F2/PDE6H/TREM2/CHGA/CCL5/GSK3A/DRD3/PRKCA/DRD2/ITGB3",0.14641623786055
"GO:0030574","collagen catabolic process",40,0.332894788472236,1.22564225579596,0.176029962546816,0.463568804988468,0.288281282140479,2429,"tags=32%, list=19%, signal=27%","CTSB/CTSL/MMP9/MMP11/MMP3/CTSS/MMP17/MMP1/MMP13/ADAMTS2/MMP8/MMP25/MMP16",0.142056643575821
"GO:0086001","cardiac muscle cell action potential",74,-0.290574628265412,-1.22530458990062,0.146341463414634,0.427227801689782,0.265681765278084,1535,"tags=19%, list=12%, signal=17%","CTNNA3/FLNA/DLG1/KCNH2/DMD/GJA1/DSP/JUP/TRPM4/KCND3/KCNJ2/CXADR/CASQ2/ANK3",0.16440575583821
"GO:2001252","positive regulation of chromosome organization",86,0.284394250906859,1.22489197680483,0.131782945736434,0.402991166368712,0.250609637408516,4935,"tags=50%, list=38%, signal=31%","TFPT/PRKCQ/DDX11/BUB1/NCAPH/HNRNPA2B1/CDK2/MAD2L1BP/RAD21/FEN1/NCAPG/RUVBL1/CCT3/NEK2/POT1/SMC5/GNL3/CDK1/SLX1B/AURKB/UCHL5/ATM/CCT2/SMC4/CCT5/MAD1L1/PNKP/NBN/TERF2IP/LIG4/SKA1/SIRT6/DKC1/INO80D/TERF1/MRE11/NEK7/CCT6A/ACTL6A/RTEL1/SHCBP1L/HSP90AA1/CCT8",0.169570644405628
"GO:0019336","phenol-containing compound catabolic process",11,-0.449764173102392,-1.22485313986934,0.21826280623608,0.516507126457126,0.321202235886987,3279,"tags=55%, list=25%, signal=41%","DIO2/DBH/SULT1A3/MAOB/ALDH9A1/MAOA",0.13880510939114
"GO:0048708","astrocyte differentiation",41,0.33305954060276,1.2247138176517,0.167307692307692,0.454508181445451,0.282646717985459,891,"tags=22%, list=7%, signal=21%","SERPINE2/C5AR1/S100B/F2/TREM2/C1QA/MAG/ZEB2/AGER",0.148261500475107
"GO:0090068","positive regulation of cell cycle process",188,0.247487498525198,1.22470493562745,0.0809352517985611,0.312545352766778,0.194363757986037,2728,"tags=31%, list=21%, signal=25%","LEF1/DBF4/MAD2L1/KIF23/PRDM9/CDC14A/DBF4B/SMC6/RB1/UBE2C/DLGAP5/SPAST/TBX2/CCNE2/FBXO5/CD28/DDX11/CDC25B/KIF14/ATAD5/AIF1/BUB1/NCAPH/BIRC5/PLCB1/DRD3/CCNB1/AURKA/MAD2L1BP/NDC80/RAD21/NPM1/CDC25A/DTL/FEN1/NUSAP1/NCAPG/DRD2/NCAPG2/CDC7/DYNC1I1/RAD51B/RAD51AP1/INCENP/IL1B/SMC5/CDC25C/RCC1/PLSCR1/OR1A2/CDK1/CCNE1/CDCA8/CIT/AURKB/UBXN2B/ESPL1/RRM2",0.211400189384923
"GO:0046189","phenol-containing compound biosynthetic process",42,0.327163984990147,1.22441907096346,0.176356589147287,0.464050720583926,0.288580972810444,1370,"tags=24%, list=11%, signal=21%","OPN3/CITED1/ZEB2/SLC45A2/PAH/SNCA/MC1R/MGRN1/PARK7/TYR",0.144630528034484
"GO:0097194","execution phase of apoptosis",61,0.301441040802241,1.22437598356358,0.154580152671756,0.43857579081557,0.272738782099956,3097,"tags=34%, list=24%, signal=26%","XRCC4/CASP2/NME1/COLEC11/DNASE2B/DFFB/CASP10/CASP8/CYCS/BAX/CIDEC/PLSCR1/HSPD1/XKR8/CXCR3/HTR2A/TOP2A/DFFA/CASP3/BNIP1/BCL2L1",0.154190966581424
"GO:0045589","regulation of regulatory T cell differentiation",40,0.332382066308457,1.22375453039091,0.177902621722846,0.466515681230165,0.29011386718961,1550,"tags=22%, list=12%, signal=20%","SOX12/LAG3/PSMB4/CTLA4/CR1/PSMB10/FANCA/LILRB4/TNFSF4",0.141225119642531
"GO:0090231","regulation of spindle checkpoint",27,0.363048842076591,1.2233807045944,0.178571428571429,0.467558551198257,0.290762400672174,2611,"tags=37%, list=20%, signal=30%","MAD2L1/BIRC5/CCNB1/MAD2L1BP/NDC80/ZWINT/DYNC1I1/INCENP/CDCA8/AURKB",0.141225119642531
"GO:0090224","regulation of spindle organization",42,-0.32547197975671,-1.22334186407309,0.168724279835391,0.454975874206339,0.282937563847617,2525,"tags=36%, list=19%, signal=29%","EML3/DYNC1H1/RAE1/VPS4B/DCTN1/HSPA1A/CHMP2A/CHMP2B/HSPA1B/CHMP1B/CHMP4A/CHMP3/CHMP1A/GNAI1/GPSM2",0.153158808683073
"GO:2000659","regulation of interleukin-1-mediated signaling pathway",13,-0.440380260391706,-1.22320817117625,0.214583333333333,0.513926124515937,0.319597178469822,895,"tags=31%, list=7%, signal=29%","ZNF675/IL1R1/IL1R2/IL1RN",0.135002033828631
