"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS",190,0.542440274650131,2.64845633600163,1e-10,7.14285714285714e-10,1.95488721804511e-10,3380,"tags=60%, list=26%, signal=45%","MCM6/NOP56/PRDX4/SPC25/SPAG5/DLGAP5/BIRC5/TRIP13/TIMELESS/KPNA2/CTPS1/BUB1B/KIF2C/DNMT1/KIF4A/STMN1/ORC6/RAD51AP1/KIF18B/BRCA1/CKS2/AURKA/RRM2/NME1/PLK1/CDC20/CCNB2/MELK/PTTG1/ASF1B/MYBL2/PSMC3IP/NUP107/ESPL1/RAD51C/CENPE/CDC25B/GINS1/MAD2L1/H2AZ1/CDKN3/CCNE1/CDKN2A/MTHFD2/SMC4/CDCA8/MCM3/DONSON/NUP205/RANBP1/TK1/EZH2/CENPM/BRCA2/MKI67/RNASEH2A/CDK4/CNOT9/DEPDC1/DSCC1/MCM5/RPA3/RFC3/TIPIN/NCAPD2/H2AX/AURKB/PAICS/CHEK1/HMMR/PNN/AK2/ANP32E/NAP1L1/CDC25A/JPT1/TUBB/CKS1B/HUS1/ING3/UBE2S/PCNA/GINS4/CDCA3/NUP153/RPA2/ATAD2/POLA2/NBN/PRKDC/CDK1/CHEK2/TOP2A/POLD1/PPM1D/NASP/PPP1R8/CIT/LBR/SMC6/DCLRE1B/TRA2B/LIG1/PRPS1/DCTPP1/TMPO/XRCC6/CBX5/PMS2/XPO1/GSPT1/NOLC1/DDX39A/SRSF1",NA
"HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ESTROGEN_RESPONSE_LATE",200,-0.527981075494685,-2.47443267548618,1e-10,7.14285714285714e-10,1.95488721804511e-10,1997,"tags=45%, list=15%, signal=39%","HSPA4L/FRK/MYB/CDH1/PPIF/TPSAB1/SLC2A8/CCND1/FOS/FOXC1/FLNB/GFUS/JAK1/RPS6KA2/PRKAR2B/CA2/KRT13/TST/CYP26B1/AFF1/CAV1/TPD52L1/CISH/SIAH2/ID2/ZFP36/LSR/SLC24A3/MAPT/LTF/SLC27A2/HSPB8/KCNK5/MAPK13/ST14/PDZK1/CD44/TIAM1/EGR3/CXCL14/SORD/AREG/TOB1/CELSR2/TFAP2C/GAL/IDH2/CD9/ANXA9/CKB/NPY1R/PDCD4/LLGL2/PCP4/UNC13B/SFN/DHCR7/TJP3/ATP2B4/MYOF/HOMER2/NMU/KLK10/LAMC2/KLK11/PLXNB1/FKBP5/BAG1/KLF4/EMP2/CLIC3/PTGER3/PERP/CA12/HR/ASS1/AGR2/DLG5/GJB3/SCNN1A/SULT2B1/OVOL2/KRT19/HMGCS2/TRIM29/RAPGEFL1/FGFR3/PKP3/ALDH3A2/IMPA2",NA
"HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ALLOGRAFT_REJECTION",200,0.502281344728009,2.46040288552696,1e-10,7.14285714285714e-10,1.95488721804511e-10,3116,"tags=50%, list=24%, signal=38%","IFNAR2/LCP2/TIMP1/FCGR2B/MMP9/ICAM1/CCR1/CD1D/IL10/THY1/SRGN/IGSF6/CTSS/GZMA/CCL7/CD86/CXCL13/GZMB/CCL5/WARS1/TLR2/ITGB2/GPR65/FYB1/CRTAM/WAS/BRCA1/CD7/LYN/LY86/HCLS1/PTPRC/NME1/STAT1/NCF4/IL2RA/HLA-DMB/PRF1/CD8A/INHBA/CD74/CDKN2A/CCR5/CCL4/CD247/HLA-DRA/C2/STAT4/HLA-DOA/BCAT1/STAB1/TAP2/FGR/CXCL9/ITGAL/CCL2/CD47/IL15/CD3G/ITK/HLA-DQA1/IRF8/EIF4G3/CD2/IL27RA/IL18RAP/LCK/CD79A/HLA-DMA/MRPL3/NLRP3/TLR1/FASLG/IL16/IL1B/HIF1A/SIT1/CFP/DYRK3/CD8B/CD3D/KLRD1/IRF7/PSMB10/IL11/IL12B/CD96/CSK/NPM1/CCR2/GLMN/ST8SIA4/MAP4K1/PRKCG/LIF/CD28/MTIF2/CD40LG/CD40",NA
"HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_EARLY",200,-0.50922438766652,-2.38652770426649,1e-10,7.14285714285714e-10,1.95488721804511e-10,2041,"tags=42%, list=16%, signal=36%","INHBB/ABAT/FRK/MYB/PPIF/KDM4B/THSD4/ELF1/FASN/CCND1/FOS/FOXC1/NADSYN1/FLNB/RPS6KA2/KRT13/CYP26B1/AFF1/PEX11A/MYC/TPD52L1/MED13L/SVIL/HES1/CISH/SLC37A1/TSKU/SIAH2/LRIG1/SLC24A3/MAPT/CALB2/ENDOD1/SLC27A2/HSPB8/KCNK5/WWC1/PDZK1/CLDN7/CD44/TIAM1/EGR3/AREG/TOB1/TMEM164/AKAP1/CELSR2/TFAP2C/BCL11B/SYBU/MUC1/ANXA9/NPY1R/KRT8/ABLIM1/SFN/KLF10/DHCR7/TJP3/MYOF/KLK10/RHOD/MSMB/ZNF185/FKBP5/BAG1/AR/ELF3/KLF4/ESRP2/KRT15/CLIC3/AQP3/CA12/P2RY2/HR/SCNN1A/SULT2B1/MAST4/LAD1/OVOL2/KRT19/RAPGEFL1/TIPARP",NA
"HALLMARK_ADIPOGENESIS","HALLMARK_ADIPOGENESIS",179,-0.497981667318813,-2.31567490516636,1e-10,7.14285714285714e-10,1.95488721804511e-10,2740,"tags=45%, list=21%, signal=36%","MAP4K3/CD151/MYLK/ECHS1/ETFB/UQCRC1/APLP2/DBT/POR/HIBCH/SQOR/SDHC/UBC/ACADM/DECR1/OMD/PEX14/CD302/PPM1B/PFKL/TANK/ARL4A/ITSN1/CCNG2/LTC4S/FZD4/IDH3G/CAVIN1/LPL/TST/CS/SLC25A1/GHITM/ARAF/ACOX1/SORBS1/GPX3/ELOVL6/RNF11/SCP2/ESRRA/SUCLG1/BCKDHA/CMPK1/HSPB8/DLAT/AGPAT3/FABP4/CRAT/ATP1B3/EPHX2/MCCC1/BCL6/ACAA2/TOB1/CAVIN2/ALDH2/HADH/ECH1/SNCG/SLC25A10/PDCD4/RETSAT/LPCAT3/PPARG/RIOK3/DHRS7B/DHCR7/REEP5/LEP/ME1/CD36/CAT/PTGER3/ADIPOQ/CIDEA/LIPE/RTN3/CYP4B1/SOWAHC/ACADL",NA
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE",182,0.453937530940675,2.21158993594274,1e-10,7.14285714285714e-10,1.95488721804511e-10,3315,"tags=46%, list=25%, signal=35%","IFNAR2/UPP1/LCP2/CD38/FCGR1A/ISG20/ICAM1/IFI30/GZMA/CCL7/ST3GAL5/CD86/CCL5/WARS1/ITGB7/FPR1/PSME2/SRI/ADAR/PLSCR1/NUP93/MARCHF1/STAT1/TNFAIP6/CASP8/EIF2AK2/PDE4B/IL10RA/RSAD2/CD74/MTHFD2/STAT4/USP18/ISG15/ZBP1/SP110/VCAM1/IFI44/CXCL9/OAS2/CCL2/PSMB2/IL15/SOD2/HLA-DQA1/IRF8/OAS3/GPR18/OASL/CASP3/CMKLR1/HLA-DMA/UBE2L6/HLA-DRB1/CXCL10/XCL1/HIF1A/KLRK1/LGALS3BP/C1S/CSF2RB/IFIT3/IRF7/RTP4/CXCL11/PSMB10/IFI35/SAMHD1/IRF1/BST2/MYD88/PARP12/ST8SIA4/SLAMF7/CIITA/CD40/XAF1/MX1/PSMB9/NAMPT/LAP3/IFITM2/SERPING1/RBCK1",NA
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT",200,0.447642623349597,2.19275753267447,1e-10,7.14285714285714e-10,1.95488721804511e-10,2595,"tags=44%, list=20%, signal=36%","E2F3/MCM6/CENPF/MEIS2/TPX2/KIF23/BIRC5/CDC45/ODC1/GINS2/KPNA2/KIF2C/BUB1/KIF4A/STMN1/KIF15/ORC6/CDC7/CKS2/AURKA/EXO1/UBE2C/PLK1/CENPA/CDC20/CCNB2/PTTG1/RAD54L/MYBL2/DBF4/EWSR1/ESPL1/RBL1/PBK/CENPE/CDC25B/MAD2L1/H2AZ1/ODF2/CDKN3/NSD2/HSPA8/SMC4/POLQ/NEK2/MCM3/EZH2/BRCA2/MKI67/TTK/SNRPD1/CDK4/CDC6/MCM5/PRC1/UCK2/NDC80/STIL/CDC27/H2AX/AURKB/NUSAP1/H2BC12/CHEK1/HMMR/CCNA2/H2AZ2/ORC5/E2F1/CDC25A/HIF1A/JPT1/CKS1B/HUS1/UBE2S/FBXO5/RPA2/TROAP/POLA2/TRAIP/CBX1/NUP50/KPNB1/KIF11/ATF5/NUP98/CDK1/MTF2/DTYMK",NA
"HALLMARK_BILE_ACID_METABOLISM","HALLMARK_BILE_ACID_METABOLISM",101,-0.491965760892029,-2.11728597542307,5.53127400841703e-07,2.3046975035071e-06,6.30759316749311e-07,2372,"tags=40%, list=18%, signal=33%","FDXR/GNPAT/PXMP2/NR1I2/SLC67A1/ABCA5/ABCD2/PEX19/FADS2/PAOX/CROT/PEX11A/NR3C2/OPTN/NR0B2/SCP2/TFCP2L1/ABCD3/SLC27A2/NEDD4/PECR/IDI1/PEX13/EPHX2/HSD17B4/ALDH9A1/IDH2/HSD3B1/RETSAT/BBOX1/PEX7/CYP39A1/ACSL1/AR/CAT/SULT2B1/DHCR24/ISOC1/LIPE/RXRA",0.659444398037935
"HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM",146,-0.466189491949682,-2.10189690901463,1.76438382900426e-08,8.82191914502129e-08,2.41441997653214e-08,2758,"tags=46%, list=21%, signal=37%","PTS/UROS/ECHS1/G0S2/METAP1/HIBCH/SDHD/SDHC/ACADM/DECR1/RDH11/KMT5A/GSTZ1/AQP7/LTC4S/FASN/GABARAPL1/HPGD/XIST/AOC3/IDH3G/SUCLA2/ECI1/CA2/CBR1/ACOX1/NSDHL/ACOT2/ACADVL/ACAA1/ADH7/SERINC1/AUH/SUCLG1/CA6/IDI1/CBR3/CRAT/FABP1/HSD17B4/ACAA2/ACAT2/ALDH9A1/CA4/HADH/ECH1/HAO2/RDH16/BCKDHB/HMGCS1/RETSAT/ME1/ACSL1/CD36/ACSM3/ALDH3A1/ADH1C/ETFDH/DHCR24/ALAD/CIDEA/HSDL2/HMGCS2/MAOA/ALDH3A2/GPD1/ACADL",0.73376198835648
"HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE",84,0.482935168436221,2.07236168477903,2.25379706777808e-06,8.66845026068493e-06,2.37241796608219e-06,3304,"tags=45%, list=25%, signal=34%","ISG20/IFI30/WARS1/PSME2/ADAR/PLSCR1/SELL/CNP/CASP8/EIF2AK2/RSAD2/SAMD9/CD74/USP18/ISG15/SP110/CCRL2/IFI44/CD47/IL15/OASL/UBE2L6/CXCL10/TMEM140/LGALS3BP/C1S/IFIT3/IRF7/RTP4/CXCL11/IFI35/IRF1/BST2/PARP12/MX1/PSMB9/LAP3/IFITM2",0.627256739718528
